index,date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg,rolling_avg
0,2021-01-01,California,State,Lambda,0.0,0.0,,,0.0
10,2021-01-02,California,State,Lambda,0.0,0.0,,,0.0
27,2021-01-03,California,State,Lambda,0.0,0.0,,,0.0
36,2021-01-04,California,State,Lambda,0.0,0.0,,,0.0
43,2021-01-05,California,State,Lambda,0.0,0.0,,,0.0
56,2021-01-06,California,State,Lambda,0.0,0.0,,,0.0
65,2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
79,2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
83,2021-01-09,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
90,2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
103,2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
112,2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
124,2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
133,2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
144,2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
154,2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
166,2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
177,2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
184,2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
190,2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
206,2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
217,2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
222,2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
237,2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
248,2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
255,2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
261,2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
271,2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
289,2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
297,2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
304,2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
317,2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
322,2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
330,2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
347,2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
355,2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
369,2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
379,2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
388,2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
397,2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
407,2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
416,2021-02-11,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
428,2021-02-12,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
439,2021-02-13,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
449,2021-02-14,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
450,2021-02-15,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
469,2021-02-16,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
476,2021-02-17,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
487,2021-02-18,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
491,2021-02-19,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
502,2021-02-20,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
512,2021-02-21,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
523,2021-02-22,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
532,2021-02-23,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
541,2021-02-24,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
557,2021-02-25,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
569,2021-02-26,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
575,2021-02-27,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
585,2021-02-28,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
594,2021-03-01,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
605,2021-03-02,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
611,2021-03-03,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
627,2021-03-04,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
633,2021-03-05,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
646,2021-03-06,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
658,2021-03-07,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
669,2021-03-08,California,State,Lambda,0.0,0.0,0.0,0.0,0.0
675,2021-03-09,California,State,Lambda,0.0,0.0,0.0,0.0,0.14285714285714285
688,2021-03-10,California,State,Lambda,0.0,0.0,0.0,0.0,0.2857142857142857
695,2021-03-11,California,State,Lambda,0.0,0.0,0.0,0.0,0.2857142857142857
707,2021-03-12,California,State,Lambda,1.0,0.22,0.14285714285,0.026399155227,0.2857142857142857
712,2021-03-13,California,State,Lambda,1.0,0.34,0.28571428571,0.053777897284,0.2857142857142857
729,2021-03-14,California,State,Lambda,0.0,0.0,0.28571428571,0.055447740505,0.42857142857142855
734,2021-03-15,California,State,Lambda,0.0,0.0,0.28571428571,0.058156440826,0.42857142857142855
745,2021-03-16,California,State,Lambda,0.0,0.0,0.28571428571,0.060240963855,0.42857142857142855
756,2021-03-17,California,State,Lambda,1.0,0.17,0.42857142857,0.093341630367,0.2857142857142857
762,2021-03-18,California,State,Lambda,0.0,0.0,0.42857142857,0.095057034221,0.2857142857142857
771,2021-03-19,California,State,Lambda,1.0,0.2,0.42857142857,0.093955527717,0.2857142857142857
780,2021-03-20,California,State,Lambda,0.0,0.0,0.28571428571,0.061519532452,0.2857142857142857
799,2021-03-21,California,State,Lambda,0.0,0.0,0.28571428571,0.061425061425,0.14285714285714285
802,2021-03-22,California,State,Lambda,0.0,0.0,0.28571428571,0.06038647343,0.14285714285714285
819,2021-03-23,California,State,Lambda,0.0,0.0,0.28571428571,0.062972292191,0.14285714285714285
820,2021-03-24,California,State,Lambda,0.0,0.0,0.14285714285,0.032216494845,0.14285714285714285
838,2021-03-25,California,State,Lambda,0.0,0.0,0.14285714285,0.03355704698,0.14285714285714285
846,2021-03-26,California,State,Lambda,1.0,0.23,0.14285714285,0.034270047978,0.14285714285714285
850,2021-03-27,California,State,Lambda,0.0,0.0,0.14285714285,0.034482758621,0.42857142857142855
867,2021-03-28,California,State,Lambda,0.0,0.0,0.14285714285,0.034904013962,0.42857142857142855
874,2021-03-29,California,State,Lambda,0.0,0.0,0.14285714285,0.035688793719,0.42857142857142855
889,2021-03-30,California,State,Lambda,2.0,0.39,0.42857142857,0.104202848211,0.2857142857142857
898,2021-03-31,California,State,Lambda,0.0,0.0,0.42857142857,0.108147080029,0.2857142857142857
903,2021-04-01,California,State,Lambda,0.0,0.0,0.42857142857,0.1100110011,0.2857142857142857
911,2021-04-02,California,State,Lambda,0.0,0.0,0.28571428571,0.071710290427,0.2857142857142857
927,2021-04-03,California,State,Lambda,0.0,0.0,0.28571428571,0.07204610951,0.14285714285714285
939,2021-04-04,California,State,Lambda,0.0,0.0,0.28571428571,0.071942446043,0.42857142857142855
942,2021-04-05,California,State,Lambda,0.0,0.0,0.28571428571,0.068540095956,0.42857142857142855
952,2021-04-06,California,State,Lambda,1.0,0.19,0.14285714285,0.034281796366,0.7142857142857143
963,2021-04-07,California,State,Lambda,2.0,0.42,0.42857142857,0.100840336134,0.7142857142857143
979,2021-04-08,California,State,Lambda,0.0,0.0,0.42857142857,0.101146325017,0.7142857142857143
980,2021-04-09,California,State,Lambda,2.0,0.52,0.71428571428,0.174825174825,0.8571428571428571
995,2021-04-10,California,State,Lambda,0.0,0.0,0.71428571428,0.17599436818,0.8571428571428571
1000,2021-04-11,California,State,Lambda,0.0,0.0,0.71428571428,0.174034110686,0.7142857142857143
1014,2021-04-12,California,State,Lambda,1.0,0.23,0.85714285714,0.220507166483,0.7142857142857143
1029,2021-04-13,California,State,Lambda,1.0,0.21,0.85714285714,0.224299065421,0.8571428571428571
1033,2021-04-14,California,State,Lambda,1.0,0.23,0.71428571428,0.189753320683,0.8571428571428571
