Original implementation:
    1st timing:
        Iteration 1/50: 5.9862469
        Iteration 2/50: 4.853908400000002
        Iteration 3/50: 3.315570100000002
        Iteration 4/50: 3.7203097000000014
        Iteration 5/50: 4.4264221
        Iteration 6/50: 4.706357700000002
        Iteration 7/50: 5.392664799999999
        Iteration 8/50: 4.987883699999998
        Iteration 9/50: 4.599059000000004
        Iteration 10/50: 3.9936127
        Iteration 11/50: 3.6338459000000043
        Iteration 12/50: 3.7847560000000016
        Iteration 13/50: 3.652075400000001
        Iteration 14/50: 3.620909900000001
        Iteration 15/50: 3.5403326999999933
        Iteration 16/50: 3.5169051999999965
        Iteration 17/50: 3.4937683999999933
        Iteration 18/50: 3.5346698999999973
        Iteration 19/50: 3.6707321000000093
        Iteration 20/50: 3.6438828
        Iteration 21/50: 3.4890709000000015
        Iteration 22/50: 3.4594483000000054
        Iteration 23/50: 3.5774741000000034
        Iteration 24/50: 3.490713299999996
        Iteration 25/50: 3.478786200000002
        Iteration 26/50: 3.6758291999999955
        Iteration 27/50: 3.6357196999999957
        Iteration 28/50: 3.588991100000001
        Iteration 29/50: 3.521649400000001
        Iteration 30/50: 3.514067499999996
        Iteration 31/50: 3.5408570000000026
        Iteration 32/50: 3.5583337999999856
        Iteration 33/50: 3.414773199999985
        Iteration 34/50: 3.7963608999999963
        Iteration 35/50: 3.95510010000001
        Iteration 36/50: 3.6738399000000186
        Iteration 37/50: 3.5063140999999973
        Iteration 38/50: 3.527454000000006
        Iteration 39/50: 3.534957999999989
        Iteration 40/50: 3.717959200000024
        Iteration 41/50: 3.5205754000000127
        Iteration 42/50: 3.9877883999999995
        Iteration 43/50: 3.6470441000000164
        Iteration 44/50: 3.7201761999999974
        Iteration 45/50: 3.662957800000015
        Iteration 46/50: 3.775452400000006
        Iteration 47/50: 3.574700100000001
        Iteration 48/50: 3.721353300000004
        Iteration 49/50: 3.691561899999982
        Iteration 50/50: 3.78378859999998
        Average: 3.8163402300000002

    2nd timing:
        Iteration 1/50: 5.542383599999994
        Iteration 2/50: 4.94929639999998
        Iteration 3/50: 3.4366775000000302
        Iteration 4/50: 3.3539991999999756
        Iteration 5/50: 3.3917734999999993
        Iteration 6/50: 3.435375399999998
        Iteration 7/50: 3.4558266999999887
        Iteration 8/50: 3.4019981000000143
        Iteration 9/50: 3.2905286999999817
        Iteration 10/50: 3.57807600000001
        Iteration 11/50: 3.4450985000000287
        Iteration 12/50: 3.5246946999999977
        Iteration 13/50: 3.453345200000001
        Iteration 14/50: 3.3883621999999605
        Iteration 15/50: 3.336170299999992
        Iteration 16/50: 3.3122626999999625
        Iteration 17/50: 3.446280099999967
        Iteration 18/50: 3.3395879000000264
        Iteration 19/50: 3.5106126000000017
        Iteration 20/50: 3.745452300000011
        Iteration 21/50: 3.4034447000000227
        Iteration 22/50: 3.475504599999965
        Iteration 23/50: 3.376953399999991
        Iteration 24/50: 3.4820546000000263
        Iteration 25/50: 3.6268516999999747
        Iteration 26/50: 4.154470300000014
        Iteration 27/50: 3.5248136999999815
        Iteration 28/50: 3.526738899999998
        Iteration 29/50: 3.3838445000000092
        Iteration 30/50: 3.4120988999999895
        Iteration 31/50: 3.3934447999999975
        Iteration 32/50: 3.4862593999999945
        Iteration 33/50: 3.503604400000029
        Iteration 34/50: 3.3737853000000086
        Iteration 35/50: 3.350464699999975
        Iteration 36/50: 3.4322465000000193
        Iteration 37/50: 3.4221082999999908
        Iteration 38/50: 3.5775879999999916
        Iteration 39/50: 3.413244700000007
        Iteration 40/50: 3.5290334999999686
        Iteration 41/50: 3.3999890999999707
        Iteration 42/50: 3.427415999999994
        Iteration 43/50: 3.5709646999999904
        Iteration 44/50: 3.397257100000047
        Iteration 45/50: 3.591430300000013
        Iteration 46/50: 3.440724199999977
        Iteration 47/50: 3.527030800000034
        Iteration 48/50: 3.4170399000000202
        Iteration 49/50: 3.5821487000000047
        Iteration 50/50: 3.37301819999999
        Average: 3.5382675099999985

    3rd timing:
        Iteration 1/50: 5.7835754
        Iteration 2/50: 4.529591
        Iteration 3/50: 3.6395347000000022
        Iteration 4/50: 3.5462258999999996
        Iteration 5/50: 3.8601872999999998
        Iteration 6/50: 3.6662879000000004
        Iteration 7/50: 3.4852142999999955
        Iteration 8/50: 3.571981800000003
        Iteration 9/50: 3.479673599999998
        Iteration 10/50: 3.7076548999999943
        Iteration 11/50: 3.495129999999996
        Iteration 12/50: 3.7631808000000007
        Iteration 13/50: 3.559048600000004
        Iteration 14/50: 3.690148200000003
        Iteration 15/50: 3.6245362000000014
        Iteration 16/50: 3.603797
        Iteration 17/50: 3.895703900000001
        Iteration 18/50: 3.6631751000000037
        Iteration 19/50: 3.666751099999999
        Iteration 20/50: 3.602645999999993
        Iteration 21/50: 3.6081767999999954
        Iteration 22/50: 3.867274800000004
        Iteration 23/50: 3.6512532999999934
        Iteration 24/50: 3.6392656999999957
        Iteration 25/50: 3.818515099999999
        Iteration 26/50: 3.919068899999999
        Iteration 27/50: 4.080498399999996
        Iteration 28/50: 3.688178999999991
        Iteration 29/50: 3.551245299999991
        Iteration 30/50: 3.732623799999999
        Iteration 31/50: 3.713930899999994
        Iteration 32/50: 3.6800685999999985
        Iteration 33/50: 4.054626899999988
        Iteration 34/50: 3.9938772000000142
        Iteration 35/50: 4.111079899999993
        Iteration 36/50: 3.7009089000000017
        Iteration 37/50: 3.8010320000000206
        Iteration 38/50: 3.5989098000000013
        Iteration 39/50: 3.800360899999987
        Iteration 40/50: 3.543682799999999
        Iteration 41/50: 3.627124100000003
        Iteration 42/50: 3.709458500000011
        Iteration 43/50: 3.8653935000000104
        Iteration 44/50: 3.7204867000000093
        Iteration 45/50: 3.891185500000006
        Iteration 46/50: 3.548298499999987
        Iteration 47/50: 3.6785428999999965
        Iteration 48/50: 3.6306054000000074
        Iteration 49/50: 3.95520879999998
        Iteration 50/50: 3.6772959000000185
        Average: 3.77384445

    4th timing:
        Iteration 1/50: 4.5266275
        Iteration 2/50: 3.7373291
        Iteration 3/50: 3.5375999
        Iteration 4/50: 4.218447099999999
        Iteration 5/50: 3.8278073
        Iteration 6/50: 3.8330892999999975
        Iteration 7/50: 3.6850083000000033
        Iteration 8/50: 3.798460300000002
        Iteration 9/50: 3.808633499999999
        Iteration 10/50: 3.889133000000001
        Iteration 11/50: 4.003667999999998
        Iteration 12/50: 3.888240400000001
        Iteration 13/50: 3.796594799999994
        Iteration 14/50: 4.153661799999995
        Iteration 15/50: 3.7863909999999947
        Iteration 16/50: 3.8305746999999997
        Iteration 17/50: 3.8545739999999995
        Iteration 18/50: 3.816375199999996
        Iteration 19/50: 3.952072599999994
        Iteration 20/50: 3.9116724000000005
        Iteration 21/50: 3.8206188999999995
        Iteration 22/50: 3.9046220999999974
        Iteration 23/50: 3.729167799999999
        Iteration 24/50: 3.7883473000000123
        Iteration 25/50: 3.6446412000000095
        Iteration 26/50: 3.845583199999993
        Iteration 27/50: 3.7309319000000016
        Iteration 28/50: 3.5994962999999984
        Iteration 29/50: 3.462191599999997
        Iteration 30/50: 4.722080500000004
        Iteration 31/50: 3.7689426999999966
        Iteration 32/50: 3.3274057
        Iteration 33/50: 3.53351600000002
        Iteration 34/50: 3.427972600000004
        Iteration 35/50: 3.6135883000000035
        Iteration 36/50: 3.4064486999999986
        Iteration 37/50: 3.3195094000000154
        Iteration 38/50: 4.1914932999999905
        Iteration 39/50: 3.543454299999979
        Iteration 40/50: 3.428321699999998
        Iteration 41/50: 3.2743930000000034
        Iteration 42/50: 3.660001599999987
        Iteration 43/50: 4.277008499999994
        Iteration 44/50: 4.221157699999992
        Iteration 45/50: 3.4219745999999986
        Iteration 46/50: 3.492846600000007
        Iteration 47/50: 3.3013978999999836
        Iteration 48/50: 3.5887343999999928
        Iteration 49/50: 3.2208828999999923
        Iteration 50/50: 3.508395699999994
        Average: 3.752621731999999
    
    5th timing:
        Iteration 1/50: 5.867541599999999
        Iteration 2/50: 4.045878300000002
        Iteration 3/50: 3.5745576999999997
        Iteration 4/50: 3.4083104000000013
        Iteration 5/50: 3.3765877999999994
        Iteration 6/50: 3.2854761000000003
        Iteration 7/50: 3.3506535
        Iteration 8/50: 3.4037310000000005
        Iteration 9/50: 3.439816400000005
        Iteration 10/50: 3.5654068999999993
        Iteration 11/50: 3.232228400000004
        Iteration 12/50: 3.5950452999999953
        Iteration 13/50: 3.266973499999999
        Iteration 14/50: 3.454991100000001
        Iteration 15/50: 3.420299799999995
        Iteration 16/50: 3.490204899999995
        Iteration 17/50: 3.610858500000006
        Iteration 18/50: 3.4365284000000003
        Iteration 19/50: 3.406226399999994
        Iteration 20/50: 3.3261049000000042
        Iteration 21/50: 3.3335285
        Iteration 22/50: 3.4392978999999997
        Iteration 23/50: 3.3963905999999895
        Iteration 24/50: 3.2214704999999952
        Iteration 25/50: 3.5481887999999913
        Iteration 26/50: 3.3380333000000064
        Iteration 27/50: 3.397254900000007
        Iteration 28/50: 3.451597800000002
        Iteration 29/50: 3.3129605000000026
        Iteration 30/50: 3.315353200000004
        Iteration 31/50: 3.3286406
        Iteration 32/50: 3.422072
        Iteration 33/50: 3.323242399999998
        Iteration 34/50: 3.3009721999999897
        Iteration 35/50: 3.323089600000017
        Iteration 36/50: 3.2574096999999824
        Iteration 37/50: 3.345205099999987
        Iteration 38/50: 3.263806299999999
        Iteration 39/50: 3.3518722000000025
        Iteration 40/50: 3.3808469999999886
        Iteration 41/50: 3.372456999999997
        Iteration 42/50: 3.2599641999999847
        Iteration 43/50: 3.3463233999999886
        Iteration 44/50: 3.2877315000000067
        Iteration 45/50: 3.767827699999998
        Iteration 46/50: 4.287656400000003
        Iteration 47/50: 3.823481600000008
        Iteration 48/50: 3.6169430000000204
        Iteration 49/50: 3.406463400000007
        Iteration 50/50: 3.4072735000000023
        Average: 3.483695513999999

    6th timing:
        Iteration 1/50: 5.368128599999977
        Iteration 2/50: 4.586611100000027
        Iteration 3/50: 4.096654100000023
        Iteration 4/50: 4.024526300000048
        Iteration 5/50: 3.823142500000017
        Iteration 6/50: 3.8622393000000557
        Iteration 7/50: 4.010258300000032
        Iteration 8/50: 4.0268978999999945
        Iteration 9/50: 3.8603938999999627
        Iteration 10/50: 3.4172574000000395
        Iteration 11/50: 3.309264199999916
        Iteration 12/50: 3.3541480000000092
        Iteration 13/50: 3.5233005999999705
        Iteration 14/50: 3.491514499999994
        Iteration 15/50: 3.552918699999964
        Iteration 16/50: 3.3489153000000442
        Iteration 17/50: 3.2269567999999254
        Iteration 18/50: 3.4228633000000173
        Iteration 19/50: 3.4200737000001027
        Iteration 20/50: 3.3909283000000414
        Iteration 21/50: 3.510722900000019
        Iteration 22/50: 3.3567808999999897
        Iteration 23/50: 3.336289899999997
        Iteration 24/50: 3.394526599999949
        Iteration 25/50: 3.554536100000064
        Iteration 26/50: 3.294900200000029
        Iteration 27/50: 3.3986069000000043
        Iteration 28/50: 3.3855020000000877
        Iteration 29/50: 3.424787199999969
        Iteration 30/50: 3.3518836000000647
        Iteration 31/50: 3.3098834999999553
        Iteration 32/50: 3.4112612999999783
        Iteration 33/50: 3.348134699999946
        Iteration 34/50: 3.432245699999953
        Iteration 35/50: 3.1987426999999116
        Iteration 36/50: 3.418818500000043
        Iteration 37/50: 3.3117586999999276
        Iteration 38/50: 3.3343953000000965
        Iteration 39/50: 3.4011447999999973
        Iteration 40/50: 3.1403183999999555
        Iteration 41/50: 3.4630864000000656
        Iteration 42/50: 3.3520287000000053
        Iteration 43/50: 3.3974302999999964
        Iteration 44/50: 3.3796654999999873
        Iteration 45/50: 3.389489400000002
        Iteration 46/50: 3.435767499999997
        Iteration 47/50: 3.3717739999999594
        Iteration 48/50: 3.492886300000009
        Iteration 49/50: 3.442130700000007
        Iteration 50/50: 3.4091118999999708
        Average: 3.531312068000002

    7th timing:
        Iteration 1/50: 5.548566100000016
        Iteration 2/50: 3.7905872000000045
        Iteration 3/50: 3.6955219999999827
        Iteration 4/50: 3.2018305000000282
        Iteration 5/50: 3.382904499999995
        Iteration 6/50: 3.421253800000045
        Iteration 7/50: 3.354933699999947
        Iteration 8/50: 3.363354000000072
        Iteration 9/50: 3.2608876000000464
        Iteration 10/50: 3.382696199999941
        Iteration 11/50: 3.266783099999998
        Iteration 12/50: 3.3804236000000856
        Iteration 13/50: 3.2973742000000357
        Iteration 14/50: 3.4384460999999646
        Iteration 15/50: 3.3682275999999547
        Iteration 16/50: 3.4181466999999657
        Iteration 17/50: 3.362137999999959
        Iteration 18/50: 3.2630417999999963
        Iteration 19/50: 5.053876599999967
        Iteration 20/50: 3.962978499999963
        Iteration 21/50: 3.6255359000000453
        Iteration 22/50: 3.8180351999999402
        Iteration 23/50: 3.6125747999999476
        Iteration 24/50: 3.561503000000016
        Iteration 25/50: 3.3505013999999846
        Iteration 26/50: 3.5631316999999854
        Iteration 27/50: 3.572773600000005
        Iteration 28/50: 3.491196999999943
        Iteration 29/50: 3.433518499999991
        Iteration 30/50: 3.5160875999999917
        Iteration 31/50: 3.6430308000000196
        Iteration 32/50: 3.440974100000062
        Iteration 33/50: 3.4968459000000394
        Iteration 34/50: 3.4960554000000457
        Iteration 35/50: 3.3782688999999664
        Iteration 36/50: 3.477139900000111
        Iteration 37/50: 3.417507400000204
        Iteration 38/50: 3.4310143000000153
        Iteration 39/50: 3.4662106000000676
        Iteration 40/50: 3.4772063000000344
        Iteration 41/50: 3.4069736999999805
        Iteration 42/50: 3.6046541999999135
        Iteration 43/50: 3.3073274999999285
        Iteration 44/50: 3.5001764999999523
        Iteration 45/50: 3.421761399999923
        Iteration 46/50: 3.370549600000004
        Iteration 47/50: 3.418896499999846
        Iteration 48/50: 3.3047014999999647
        Iteration 49/50: 3.324939699999959
        Iteration 50/50: 3.3571598000000904
        Average: 3.5300044899999987

    8th timing:
        Iteration 1/50: 6.182460700000092
        Iteration 2/50: 3.859807000000046
        Iteration 3/50: 3.6331391000001076
        Iteration 4/50: 3.376129100000071
        Iteration 5/50: 3.3519341999999597
        Iteration 6/50: 3.537940400000025
        Iteration 7/50: 3.5978645000000142
        Iteration 8/50: 3.5780985999999757
        Iteration 9/50: 3.550183699999934
        Iteration 10/50: 3.7021649000000707
        Iteration 11/50: 3.3147524999999405
        Iteration 12/50: 3.467637599999989
        Iteration 13/50: 3.5683804000000237
        Iteration 14/50: 3.6152826000000005
        Iteration 15/50: 3.5352534000001015
        Iteration 16/50: 3.6646290999999565
        Iteration 17/50: 3.5897222999999485
        Iteration 18/50: 3.44815339999991
        Iteration 19/50: 3.4765824999999495
        Iteration 20/50: 3.440646499999957
        Iteration 21/50: 3.393473399999948
        Iteration 22/50: 3.4259280999999646
        Iteration 23/50: 3.3929325999999946
        Iteration 24/50: 3.523239499999818
