New implementation with a smoothing algorithm using queue data structure:
Initial method: row iterations
    
    1st timing:
        Iteration 1/50: 0.08882479999988391
        Iteration 2/50: 0.11400750000007065
        Iteration 3/50: 0.11706939999999122
        Iteration 4/50: 0.11376730000006319
        Iteration 5/50: 0.09767299999998613
        Iteration 6/50: 0.09850480000000061
        Iteration 7/50: 0.09410499999989952
        Iteration 8/50: 0.1001890000000003
        Iteration 9/50: 0.10244920000013735
        Iteration 10/50: 0.12101800000004914
        Iteration 11/50: 0.10431640000001607
        Iteration 12/50: 0.10716219999994792
        Iteration 13/50: 0.1259471000000758
        Iteration 14/50: 0.12645210000005136
        Iteration 15/50: 0.1309317000000192
        Iteration 16/50: 0.13205550000020594
        Iteration 17/50: 0.11526390000017273
        Iteration 18/50: 0.10894589999998061
        Iteration 19/50: 0.10634159999995063
        Iteration 20/50: 0.10342470000000503
        Iteration 21/50: 0.1685516000000007
        Iteration 22/50: 0.15624750000006316
        Iteration 23/50: 0.11474169999996775
        Iteration 24/50: 0.15966920000005302
        Iteration 25/50: 0.17176070000004984
        Iteration 26/50: 0.1861873000000287
        Iteration 27/50: 0.1471046000001479
        Iteration 28/50: 0.12701609999999164
        Iteration 29/50: 0.1532560000000558
        Iteration 30/50: 0.19182230000001255
        Iteration 31/50: 0.18139780000001338
        Iteration 32/50: 0.2332027999998445
        Iteration 33/50: 0.2601572999999462
        Iteration 34/50: 0.1764296999999715
        Iteration 35/50: 0.1586130000000594
        Iteration 36/50: 0.14909990000001017
        Iteration 37/50: 0.11487240000019483
        Iteration 38/50: 0.13105730000006588
        Iteration 39/50: 0.1013253999999506
        Iteration 40/50: 0.10594679999985601
        Iteration 41/50: 0.19344630000000507
        Iteration 42/50: 0.13112090000004173
        Iteration 43/50: 0.1849197000001368
        Iteration 44/50: 0.2533601999998609
        Iteration 45/50: 0.18449310000005426
        Iteration 46/50: 0.13350130000003446
        Iteration 47/50: 0.11882050000008348
        Iteration 48/50: 0.09741589999998723
        Iteration 49/50: 0.10437959999990198
        Iteration 50/50: 0.10991920000014943
        Average: 0.13816570400002093

    2nd timing:
        Iteration 1/50: 0.7328652999999994
        Iteration 2/50: 0.11752370000000045
        Iteration 3/50: 0.11973620000000018
        Iteration 4/50: 0.13013659999999927
        Iteration 5/50: 0.10553240000000041
        Iteration 6/50: 0.12540379999999995
        Iteration 7/50: 0.15259839999999958
        Iteration 8/50: 0.12026380000000003
        Iteration 9/50: 0.12318530000000028
        Iteration 10/50: 0.10401429999999934
        Iteration 11/50: 0.11121539999999985
        Iteration 12/50: 0.12376410000000071
        Iteration 13/50: 0.10567040000000105
        Iteration 14/50: 0.12243180000000109
        Iteration 15/50: 0.11150709999999897
        Iteration 16/50: 0.10102359999999955
        Iteration 17/50: 0.09382019999999969
        Iteration 18/50: 0.09862140000000075
        Iteration 19/50: 0.10090710000000058
        Iteration 20/50: 0.0878299000000009
        Iteration 21/50: 0.10893589999999875
        Iteration 22/50: 0.11419569999999979
        Iteration 23/50: 0.10968139999999948
        Iteration 24/50: 0.09508060000000107
        Iteration 25/50: 0.1495514999999994
        Iteration 26/50: 0.09918839999999918
        Iteration 27/50: 0.10706429999999934
        Iteration 28/50: 0.09999849999999988
        Iteration 29/50: 0.09701730000000097
        Iteration 30/50: 0.09717810000000071
        Iteration 31/50: 0.09907100000000035
        Iteration 32/50: 0.09819710000000015
        Iteration 33/50: 0.1284624000000001
        Iteration 34/50: 0.10763429999999907
        Iteration 35/50: 0.11339120000000058
        Iteration 36/50: 0.0900275999999991
        Iteration 37/50: 0.09765179999999951
        Iteration 38/50: 0.10222199999999937
        Iteration 39/50: 0.1153253000000003
        Iteration 40/50: 0.10677190000000003
        Iteration 41/50: 0.10327449999999949
        Iteration 42/50: 0.10982520000000129
        Iteration 43/50: 0.10983069999999984
        Iteration 44/50: 0.1049313999999999
        Iteration 45/50: 0.10014510000000065
        Iteration 46/50: 0.10522980000000004
        Iteration 47/50: 0.10401919999999976
        Iteration 48/50: 0.10186640000000047
        Iteration 49/50: 0.10964599999999969
        Iteration 50/50: 0.10118889999999858
        Average: 0.12149308599999997

    3rd timing:
        Iteration 1/50: 0.0904057999999992
        Iteration 2/50: 0.12035710000000677
        Iteration 3/50: 0.10403719999999339
        Iteration 4/50: 0.11567800000000261
        Iteration 5/50: 0.09541689999998937
        Iteration 6/50: 0.0971868000000029
        Iteration 7/50: 0.10883429999999805
        Iteration 8/50: 0.1275326000000092
        Iteration 9/50: 0.13733340000000283
        Iteration 10/50: 0.10778659999999718
